c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
1157.51,U.E.  Portachuelo Dios Es Amor,MAS-IPSP,7,5,7,10,3,31,7,11,148,30,81,1157.51
1159.49,U.E. Agua Dulce,UNIDAD,7,6,1,13,0,16,24,93,36,10,160,1159.49
116.2433,Escuela Walata Chico,PDC,72,3,11,7,9,7,121,12,77,27,242,116.2433
1160.48,U.E. Pedro Herrera,UNIDAD,21,88,1,113,4,41,47,202,43,24,517,1160.48
1161.50,U.E. Miraflores,UNIDAD,4,26,2,13,1,9,11,65,78,8,131,1161.50
1164.55,U.E.  Genoveva Rios,UNIDAD,14,10,0,14,1,0,14,14,13,3,67,1164.55
1166.54,U.E. Gregoria Destre Maturana,AP,84,6,2,16,2,5,38,52,32,14,205,1166.54
117.2368,Nucleo Ecolar Murumamani,PDC,99,1,18,9,6,23,216,3,182,32,375,117.2368
1172.52,U.E.  24 de Septiembre,AP,187,41,5,133,5,12,54,181,117,34,618,1172.52
1173.62,U.E. El Sena,PDC,128,288,17,376,13,56,553,368,548,181,1799,1173.62
1176.65,U.E. Santa Rosa,PDC,17,16,4,6,3,3,18,13,25,18,80,1176.65
1177.64,U.E. Las Mercedes,PDC,6,12,2,5,3,2,12,7,20,15,49,1177.64
1179.66,U.E. Palma Real,UNIDAD,34,35,5,32,1,6,81,90,47,26,284,1179.66
118.2383,Colegio Suñasivi,PDC,89,13,13,5,12,17,158,12,200,63,319,118.2383
1181.69,U.E. Abuna,LIBRE,18,15,3,61,3,2,25,8,49,12,135,1181.69
1185.73,U.E. Humaita,UNIDAD,52,45,6,90,0,20,45,99,82,29,357,1185.73
1186.74,U.E. Ingavi,UNIDAD,0,14,1,5,1,5,29,43,35,7,98,1186.74
1187.75,U.E. Derrepente,UNIDAD,0,7,1,10,0,0,5,18,12,1,41,1187.75
119.2435,Colegio Franz Tamayo,PDC,114,7,26,7,17,16,367,12,224,85,566,119.2435
1192.77,U.E.  Andres Idagua,UNIDAD,29,62,6,69,3,16,69,157,81,20,411,1192.77
1195.78,U.E. Enarevena,LIBRE,4,12,1,47,0,2,5,28,12,7,99,1195.78
120.2432,U.E. Kilusa,PDC,11,1,0,1,2,2,45,2,41,11,64,120.2432
1200.1,Colegio Gregorio Pacheco,PDC,96,25,11,137,7,30,291,67,242,44,664,1200.1
1200.2,Centro Educativo Santa Rosa,PDC,99,27,9,204,13,36,363,78,168,18,829,1200.2
1204.52,Escuela Arabate,PDC,6,1,0,4,2,3,14,0,55,11,30,1204.52
1205.53,Escuela Seccional De Chaunaca,AP,39,3,10,10,5,3,35,5,103,14,110,1205.53
1206.54,Unidad Educativa Chuqui Chuqui,PDC,52,11,8,38,8,5,134,10,174,50,266,1206.54
1207.55,Escuela Fray Gabriel Maria Landini,PDC,52,14,19,23,12,22,184,14,239,61,340,1207.55
1208.56,Escuela Fray Gabriel Mariscal,PDC,31,6,5,11,4,6,53,4,108,23,120,1208.56
121.2427,Escuela Corpachilaya,PDC,25,9,9,7,2,9,160,5,84,12,226,121.2427
1214.1,Casa Posada de Huayllas,PDC,15,3,4,6,3,8,46,3,42,23,88,1214.1
1215.1,Escuela Tipaka,AP,26,8,3,5,3,3,24,0,35,7,72,1215.1
1218.58,Escuela Punilla,PDC,22,6,7,21,2,9,87,10,59,22,164,1218.58
